Farm_ID,gender
1,Male
2,Male
3,Male
4,Male
5,Male
6,Male
7,Female
8,Female
9,Male
10,Female
11,Male
12,Male
13,Female
14,Male
15,Female
16,Female
17,Male
18,Female
19,Female
20,Male
21,Male
22,Male
23,Female
24,Female
25,Female
26,Male
27,Male
28,Male
29,Male
30,Male
31,Female
32,Male
33,Male
34,Male
35,Male
36,Male
37,Female
38,Female
39,Female
40,Female
41,Male
42,Female
43,Male
44,Female
45,Male
46,Female
47,Female
48,Female
49,Female
50,Male
51,Male
52,Male
53,Female
54,Male
55,Male
56,Male
57,Male
58,Male
59,Female
60,Male
61,Female
62,Female
63,Male
64,Female
65,Female
66,Male
67,Male
68,Male
69,Female
70,Male
71,Male
72,Female
73,Male
74,Male
75,Male
76,Male
77,Male
78,Male
79,Male
80,Male
81,Male
82,Male
83,Male
84,Male
85,Male
86,Female
87,Male
88,Female
89,Male
90,Female
91,Female
92,Male
93,Male
94,Female
95,Female
96,Male
97,Male
98,Female
99,Male
100,Female
101,Female
102,Female
103,Female
104,Female
105,Male
106,Male
107,Male
108,Female
109,Male
110,Male
111,Male
112,Female
113,Male
114,Male
115,Female
116,Male
117,Male
118,Female
119,Female
120,Female
121,Male
122,Male
123,Male
124,Male
125,Female
126,Male
127,Female
128,Male
129,Male
130,Male
131,Female
132,Male
133,Male
134,Female
135,Male
136,Female
137,Female
138,Female
139,Female
140,Male
141,Female
142,Male
143,Male
144,Female
145,Male
146,Female
147,Male
148,Female
149,Male
150,Female
151,Female
152,Female
153,Female
154,Female
155,Female
156,Male
157,Male
158,Male
159,Male
160,Male
161,Female
162,Female
163,Female
164,Female
165,Male
166,Female
167,Male
168,Female
169,Male
170,Female
171,Female
172,Female
173,Female
174,Male
175,Female
176,Male
177,Male
178,Male
179,Female
180,Female
181,Female
182,Female
183,Male
184,Male
185,Male
186,Male
187,Male
188,Male
189,Male
190,Male
191,Female
192,Male
193,Female
194,Male
195,Male
196,Female
197,Female
198,Female
199,Male
200,Female
201,Male
202,Female
203,Male
204,Male
205,Female
206,Male
207,Female
